step,train_loss,learning_rate,tokens_per_sec
4940,1.708317,1.02e-04,219.0
4950,1.551394,1.02e-04,204.2
4960,1.401239,1.01e-04,196.0
4970,1.538126,1.01e-04,202.6
4980,1.569174,1.01e-04,210.0
4990,1.481078,1.00e-04,213.8
5000,1.503621,9.98e-05,206.1
5010,1.386681,9.95e-05,203.1
5020,1.569413,9.92e-05,214.9
5030,1.447417,9.88e-05,216.7
5040,1.562781,9.85e-05,224.4
5050,1.279761,9.82e-05,191.1
5060,1.423229,9.78e-05,191.2
5070,1.345674,9.75e-05,194.6
5080,1.479757,9.72e-05,203.1
5090,1.561603,9.68e-05,221.0
5100,1.316719,9.65e-05,190.0
5110,1.364212,9.62e-05,194.9
5120,1.446819,9.59e-05,198.4
5130,1.541649,9.55e-05,211.0
5140,1.653167,9.52e-05,227.5
5150,1.426554,9.49e-05,200.3
5160,1.514769,9.45e-05,208.9
5170,1.428477,9.42e-05,207.8
5180,1.578712,9.39e-05,225.6
5190,1.271766,9.35e-05,199.6
5200,1.439510,9.32e-05,202.4
5210,1.301711,9.29e-05,204.4
5220,1.420800,9.25e-05,199.0
5230,1.429753,9.22e-05,210.4
5240,1.426545,9.19e-05,198.1
5250,1.466084,9.15e-05,210.3
5260,1.522274,9.12e-05,217.4
5270,1.591947,9.09e-05,229.1
5280,1.440316,9.05e-05,201.9
5290,1.587543,9.02e-05,216.0
5300,1.458908,8.99e-05,203.6
5310,1.463528,8.95e-05,211.3
5320,1.647975,8.92e-05,209.1
5330,1.235247,8.89e-05,192.0
5340,1.286938,8.85e-05,197.6
5350,1.444765,8.82e-05,208.8
5360,1.537779,8.79e-05,225.6
5370,1.522947,8.75e-05,214.9
5380,1.588617,8.72e-05,223.9
5390,1.187416,8.69e-05,184.6
5400,1.467347,8.66e-05,212.7
5410,1.390407,8.62e-05,190.1
5420,1.736134,8.59e-05,207.8
5430,1.766977,8.56e-05,216.3
5440,1.879012,8.52e-05,225.0
5450,1.346098,8.49e-05,190.8
5460,1.371379,8.46e-05,211.2
5470,1.499680,8.42e-05,222.4
5480,1.658945,8.39e-05,222.4
5490,1.606541,8.36e-05,226.1
5500,1.176181,8.33e-05,194.5
5510,1.546689,8.29e-05,206.3
5520,1.427709,8.26e-05,202.6
5530,1.618493,8.23e-05,217.6
5540,1.289390,8.19e-05,199.2
5550,1.468230,8.16e-05,211.8
5560,1.329660,8.13e-05,199.0
5570,1.662385,8.10e-05,220.7
5580,1.450991,8.06e-05,224.7
5590,1.595382,8.03e-05,224.5
5600,1.512705,8.00e-05,210.0
5610,1.450787,7.97e-05,227.0
5620,1.324678,7.93e-05,189.4
5630,1.440977,7.90e-05,208.8
5640,1.474072,7.87e-05,209.7
5650,1.619229,7.84e-05,229.3
5660,1.447989,7.80e-05,206.0
5670,1.366364,7.77e-05,196.7
5680,1.352530,7.74e-05,208.5
5690,1.503567,7.71e-05,218.2
5700,1.367995,7.67e-05,201.8
5710,1.379633,7.64e-05,204.3
